Date,Team,Acquired,Relinquished,Notes
2021-01-17,Grizzlies,,• Jonas Valanciunas,placed on IL with NBA health and safety protocols
2021-01-17,Jazz,,• Elijah Hughes,placed on IL with sprained left ankle
2021-01-17,Pacers,,• JaKarr Sampson,placed on IL with sore back
2021-01-17,Pacers,,• Myles Turner,placed on IL with fractured right hand
2021-01-17,Pacers,• Brian Bowen II,,activated from IL
2021-01-17,Pacers,• Goga Bitadze,,activated from IL
2021-01-17,Pacers,• Jalen Lecque,,activated from IL
2021-01-17,Raptors,,• Alex Len,placed on IL for NBA health and safety protocols
2021-01-17,Suns,,• Damian Jones,placed on IL with NBA health and safety protocols
2021-01-17,Suns,,• Dario Saric,placed on IL with NBA health and safety protocols
2021-01-18,Blazers,,• C.J. McCollum,placed on IL with fractured left foot
2021-01-18,Bulls,,• Otto Porter Jr.,placed on IL with strained lower back
2021-01-18,Bulls,,• Patrick Williams,placed on IL with bruised right hip
2021-01-18,Bulls,• Devon Dotson,,activated from IL
2021-01-18,Bulls,• Luke Kornet,,activated from IL
2021-01-18,Mavericks,• Jalen Brunson,,activated from IL
2021-01-18,Rockets,,• John Wall (Hildred),placed on IL with sore left knee
2021-01-18,Timberwolves,,• Karl-Anthony Towns,placed on IL with COVID-19
2021-01-18,Timberwolves,,• Ricky Rubio,placed on IL with NBA health and safety protocols (DTD)
2021-01-19,76ers,• Joel Embiid,,activated from IL
2021-01-19,76ers,• Seth Curry,,activated from IL
2021-01-19,Celtics,• Tacko Fall,,activated from IL
2021-01-19,Clippers,• Serge Ibaka,,activated from IL
2021-01-19,Jazz,• Joe Ingles,,activated from IL
2021-01-19,Jazz,• Juwan Morgan,,activated from IL
2021-01-19,Pelicans,• Lonzo Ball,,activated from IL
2021-01-19,Rockets,• Brodric Thomas,,activated from IL
2021-01-20,76ers,,• (James) Mike Scott,placed on IL with right knee injury
2021-01-20,76ers,,• Seth Curry,placed on IL with conditioning
2021-01-20,Cavaliers,• Dylan Windler,,activated from IL
2021-01-20,Cavaliers,• Jarrett Allen,,activated from IL
2021-01-20,Cavaliers,• Taurean Prince,,activated from IL
2021-01-20,Celtics,• Robert Williams III,,activated from IL
2021-01-20,Magic,• Evan Fournier,,activated from IL
2021-01-20,Pacers,• JaKarr Sampson,,activated from IL
2021-01-20,Pacers,• Jeremy Lamb,,activated from IL
2021-01-20,Pistons,• Frank Jackson,,activated from IL
2021-01-21,Knicks,,• Austin Rivers,placed on IL with sore right Achilles
2021-01-21,Knicks,• Alec Burks,,activated from IL
2021-01-21,Rockets,,• Christian Wood,placed on IL with sprained right ankle
2021-01-21,Spurs,• Keita Bates-Diop,,activated from IL
2021-01-21,Thunder,,• Josh Hall,placed on IL with NBA health and safety protocols
2021-01-22,76ers,• Seth Curry,,activated from IL
2021-01-22,Bulls,,• Adam Mokoka,placed on IL with concussion
2021-01-22,Bulls,,• Devon Dotson,placed on IL with NBA health and safety protocols
2021-01-22,Bulls,,• Wendell Carter Jr.,placed on IL with bruised right quadriceps
2021-01-22,Bulls,• Chandler Hutchison,,activated from IL
2021-01-22,Bulls,• Otto Porter Jr.,,activated from IL
2021-01-22,Bulls,• Patrick Williams,,activated from IL
2021-01-22,Bulls,• Tomas Satoransky,,activated from IL
2021-01-22,Cavaliers,• Darius Garland,,activated from IL
2021-01-22,Celtics,,• Aaron Nesmith,placed on IL with lower back spasms
2021-01-22,Hawks,• Danilo Gallinari,,activated from IL
2021-01-22,Heat,,• Tyler Herro,placed on IL with neck spasms
2021-01-22,Hornets,• Cody Zeller,,activated from IL
2021-01-22,Nuggets,,• Markus Howard,placed on IL
2021-01-22,Nuggets,• Michael Porter Jr.,,activated from IL
2021-01-22,Pacers,• Myles Turner,,activated from IL
2021-01-22,Raptors,,• Kyle Lowry,placed on IL with toe injury
2021-01-22,Suns,• Jalen Smith,,activated from IL
2021-01-22,Timberwolves,• Ricky Rubio,,activated from IL
2021-01-23,Bulls,• Devon Dotson,,activated from IL
2021-01-23,Celtics,,• Payton Pritchard,placed on IL with sprained MCL in right knee
2021-01-23,Celtics,• Carsen Edwards,,activated from IL
2021-01-23,Pistons,,• Blake Griffin,placed on IL with left knee injury
2021-01-23,Pistons,,• Derrick Rose,placed on IL with sore left knee
2021-01-23,Rockets,,• Victor Oladipo,placed on IL with right quadricep injury
2021-01-23,Rockets,• John Wall (Hildred),,activated from IL
2021-01-23,Timberwolves,,• D'Angelo Russell,placed on IL with bruised right quadriceps
2021-01-24,Blazers,,• Keljin Blevins,placed on IL
2021-01-24,Cavaliers,,• Lamar Stevens,placed on IL
2021-01-24,Celtics,• Aaron Nesmith,,activated from IL
2021-01-24,Clippers,,• Marcus Morris,placed on IL with illness
2021-01-24,Knicks,,• Reggie Bullock,placed on IL with sore neck
2021-01-24,Knicks,• Austin Rivers,,activated from IL
2021-01-24,Knicks,• Frank Ntilikina,,activated from IL
2021-01-24,Raptors,,• Pascal Siakam,placed on IL with left knee injury
2021-01-24,Wizards,,• Davis Bertans,placed on IL with NBA health and safety protocols
2021-01-24,Wizards,,• Deni Avdija,placed on IL with NBA health and safety protocols
2021-01-24,Wizards,,• Ishmael Smith / Ish Smith,placed on IL with NBA health and safety protocols
2021-01-24,Wizards,,• Rui Hachimura,placed on IL with NBA health and safety protocols
2021-01-24,Wizards,,• Troy Brown Jr.,placed on IL with NBA health and safety protocols
2021-01-24,Wizards,• Russell Westbrook,,activated from IL
2021-01-25,76ers,,• Joel Embiid,placed on IL with back injury
2021-01-25,Blazers,• Keljin Blevins,,activated from IL
2021-01-25,Cavaliers,,• Larry Nance Jr.,placed on IL with sprained right wrist
2021-01-25,Cavaliers,• Lamar Stevens,,activated from IL
2021-01-25,Celtics,,• Kemba Walker,placed on IL with left knee injury
2021-01-25,Celtics,• Jayson Tatum,,activated from IL
2021-01-25,Clippers,,• Kawhi Leonard,placed on IL with NBA health and safety protocols
2021-01-25,Clippers,,• Patrick Beverley,placed on IL with sore right knee
2021-01-25,Clippers,,• Paul George,placed on IL with NBA health and safety protocols
2021-01-25,Clippers,• Marcus Morris,,activated from IL
2021-01-25,Hornets,,• Nick Richards,placed on IL with sprained left ankle
2021-01-25,Pistons,• Blake Griffin,,activated from IL
2021-01-25,Raptors,• Kyle Lowry,,activated from IL
2021-01-25,Thunder,,• George Hill,placed on IL with sprained right thumb
2021-01-26,76ers,• Joel Embiid,,activated from IL
2021-01-26,Nuggets,,• P.J. Dozier,placed on IL with strained right hamstring
2021-01-26,Rockets,• Danuel House Jr.,,activated from IL
2021-01-26,Rockets,• Victor Oladipo,,activated from IL
2021-01-26,Timberwolves,,• Jarrett Culver,placed on IL with sprained left ankle
2021-01-27,Cavaliers,,• Lamar Stevens,placed on IL with strained abdominal
2021-01-27,Celtics,• Kemba Walker,,activated from IL
2021-01-27,Hawks,,• Rajon Rondo,placed on IL with sprained left ankle
2021-01-27,Heat,,• Chris Silva,placed on IL with left hip flexor injury
2021-01-27,Heat,,• Meyers Leonard,placed on IL with strained left shoulder
2021-01-27,Heat,• Avery Bradley,,activated from IL
2021-01-27,Hornets,,• Jalen McDaniels,placed on IL
2021-01-27,Jazz,,• Derrick Favors,placed on IL with sore lower back
2021-01-27,Jazz,,• Donovan Mitchell,placed on IL with concussion
2021-01-27,Kings,,• Nemanja Bjelica,placed on IL with back spasms
2021-01-27,Kings,• Hassan Whiteside,,activated from IL
2021-01-27,Mavericks,• Dorian Finney-Smith,,activated from IL
2021-01-27,Mavericks,• Dwight Powell,,activated from IL
2021-01-27,Mavericks,• Josh Richardson,,activated from IL
2021-01-27,Nuggets,• Markus Howard,,activated from IL
2021-01-27,Pistons,,• Blake Griffin,placed on IL with left knee injury
2021-01-27,Pistons,• Derrick Rose,,activated from IL
2021-01-27,Raptors,,• Ogugua Anunoby / O.G. Anunoby,placed on IL with strained left calf
2021-01-27,Raptors,• Pascal Siakam,,activated from IL
2021-01-27,Spurs,• Drew Eubanks,,activated from IL
2021-01-27,Hornets,• Nick Richards,,activated from IL
2021-01-28,Heat,• Tyler Herro,,activated from IL
2021-01-28,Lakers,,• Anthony Davis,placed on IL with bruised right quadriceps
2021-01-28,Pistons,• Blake Griffin,,activated from IL
2021-01-28,Rockets,• Christian Wood,,activated from IL
2021-01-28,Thunder,• Josh Hall,,activated from IL
2021-01-28,Wizards,• Davis Bertans,,activated from IL
2021-01-28,Wizards,• Rui Hachimura,,activated from IL
2021-01-29,76ers,• (James) Mike Scott,,activated from IL
2021-01-29,Blazers,,• Derrick Jones Jr.,placed on IL with sprained left foot
2021-01-29,Blazers,,• Robert Covington,placed on IL with concussion
2021-01-29,Cavaliers,• Larry Nance Jr.,,activated from IL
2021-01-29,Clippers,• Kawhi Leonard,,activated from IL
2021-01-29,Clippers,• Paul George,,activated from IL
2021-01-29,Grizzlies,,• Grayson Allen,placed on IL with NBA health and safety protocols
2021-01-29,Grizzlies,,• Killian Tillie,placed on IL with left foot injury
2021-01-29,Grizzlies,,• Sean McDermott,placed on IL with left shoulder injury
2021-01-29,Hawks,• Rajon Rondo,,activated from IL
2021-01-29,Pelicans,,• Naji Marshall,placed on IL with sprained left ankle
2021-01-29,Raptors,,• Norman Powell,placed on IL with bruised right quadriceps
2021-01-29,Timberwolves,• D'Angelo Russell,,activated from IL
2021-01-30,Blazers,• Robert Covington,,activated from IL
2021-01-30,Bulls,,• Devon Dotson,placed on IL
2021-01-30,Heat,• Jimmy Butler,,activated from IL
2021-01-30,Jazz,• Trent Forrest,,activated from IL
2021-01-30,Kings,,• Robert Woodard II,placed on IL
2021-01-30,Lakers,• Anthony Davis,,activated from IL
2021-01-30,Mavericks,,• Kristaps Porzingis,placed on IL with right knee injury
2021-01-30,Spurs,• Derrick White,,activated from IL
2021-01-30,Suns,,• Cameron Payne,placed on IL with right foot injury
2021-01-30,Suns,• Damian Jones,,activated from IL
2021-01-30,Wizards,• Deni Avdija,,activated from IL
2021-01-30,Wizards,• Ishmael Smith / Ish Smith,,activated from IL
2021-01-30,Wizards,• Troy Brown Jr.,,activated from IL
2021-01-30,Kings,• Jahmi'us Ramsey,,activated from IL
2021-01-31,Cavaliers,• Lamar Stevens,,activated from IL
2021-01-31,Jazz,,• Udoka Azubuike,placed on IL with sprained right ankle
2021-01-31,Jazz,• Derrick Favors,,activated from IL
2021-01-31,Jazz,• Donovan Mitchell,,activated from IL
2021-01-31,Knicks,• Reggie Bullock,,activated from IL
2021-01-31,Nets,,• Iman Shumpert,placed on IL with NBA health and safety protocols
2021-01-31,Nets,,• James Harden,placed on IL with left thigh injury
2021-01-31,Wizards,,• Raulzinho Neto / Raul Neto,placed on IL with left groin injury
2021-02-01,Cavaliers,,• Larry Nance Jr.,placed on IL with sprained right wrist
2021-02-01,Hawks,,• De'Andre Hunter,placed on IL with right knee injury
2021-02-01,Hawks,,• Onyeka Okongwu,placed on IL with left Achilles injury
2021-02-01,Kings,• Nemanja Bjelica,,activated from IL
2021-02-01,Knicks,,• Dennis Smith Jr.,placed on IL
2021-02-01,Magic,,• Aaron Gordon,placed on IL with sprained left ankle
2021-02-01,Magic,• Chuma Okeke,,activated from IL
2021-02-01,Mavericks,• Kristaps Porzingis,,activated from IL
2021-02-01,Mavericks,• Maximilian Kleber / Maxi Kleber,,activated from IL
2021-02-01,Nets,• James Harden,,activated from IL
2021-02-01,Nuggets,,• Gary Harris,placed on IL with strained left adductor
2021-02-01,Pelicans,,• Steven Adams,placed on IL with left calf injury
2021-02-01,Timberwolves,• Juancho Hernangomez / Juan Hernangomez,,activated from IL
2021-02-02,Blazers,,• Nassir Little,placed on IL with sprained left knee
2021-02-02,Celtics,,• Marcus Smart,placed on IL with left calf injury
2021-02-02,Pistons,,• Jahlil Okafor,placed on IL with left knee injury
2021-02-02,Raptors,• Norman Powell,,activated from IL
2021-02-02,Rockets,,• John Wall (Hildred),placed on IL with left Achilles injury
2021-02-02,Spurs,,• LaMarcus Aldridge,placed on IL with right hip flexor injury
2021-02-03,Bucks,,• Jordan Nwora,placed on IL
2021-02-03,Bucks,• Jaylen Adams,,activated from IL
2021-02-03,Bulls,,• Otto Porter Jr.,placed on IL with lower back spasms
2021-02-03,Celtics,,• Kemba Walker,placed on IL with left knee injury
2021-02-03,Pelicans,• Steven Adams,,activated from IL
2021-02-03,Spurs,,• Rudy Gay,placed on IL with left hip flexor injury
2021-02-04,76ers,,• (James) Mike Scott,placed on IL with right knee injury
2021-02-04,76ers,,• Ben Simmons,placed on IL with left calf injury
2021-02-04,Blazers,,• Damian Lillard,placed on IL with strained abdominal
2021-02-04,Celtics,• Kemba Walker,,activated from IL
2021-02-04,Hawks,,• Trae Young,placed on IL with bruised right calf
2021-02-04,Mavericks,,• Tyrell Terry,placed on IL
2021-02-04,Nets,• Iman Shumpert,,activated from IL
2021-02-04,Rockets,,• Victor Oladipo,placed on IL with right quadricep injury
2021-02-04,Rockets,• John Wall (Hildred),,activated from IL
2021-02-05,Bulls,,• Adam Mokoka,placed on IL with NBA health and safety protocols
2021-02-05,Celtics,,• Jaylen Brown,placed on IL with sore left knee
2021-02-05,Celtics,• Payton Pritchard,,activated from IL
2021-02-05,Clippers,,• Paul George,placed on IL with sore right foot
2021-02-05,Grizzlies,• Jonas Valanciunas,,activated from IL
2021-02-05,Pistons,,• Derrick Rose,placed on IL with left knee injury
2021-02-05,Pistons,,• Wayne Ellington,placed on IL with strained right calf
2021-02-05,Rockets,,• Christian Wood,placed on IL with sprained right ankle
2021-02-05,Spurs,,• Lonnie Walker IV,placed on IL with stomach illness
2021-02-05,Spurs,• Rudy Gay,,activated from IL
2021-02-05,Suns,,• Dario Saric,placed on IL with sprained left ankle
2021-02-06,76ers,• Ben Simmons,,activated from IL
2021-02-06,Blazers,• Damian Lillard,,activated from IL
2021-02-06,Blazers,• Derrick Jones Jr.,,activated from IL
2021-02-06,Bulls,,• Lauri Markkanen,placed on IL with sprained right shoulder
2021-02-06,Cavaliers,• Larry Nance Jr.,,activated from IL
2021-02-06,Grizzlies,• Grayson Allen,,activated from IL
2021-02-06,Hawks,• Onyeka Okongwu,,activated from IL
2021-02-06,Hawks,• Trae Young,,activated from IL
2021-02-06,Jazz,,• Mike Conley Jr.,placed on IL with right hamstring injury
2021-02-06,Knicks,,• Nerlens Noel,placed on IL with sore left knee
2021-02-06,Nets,,• Kevin Durant,placed on IL with NBA health and safety protocols
2021-02-06,Nets,,• Kyrie Irving,placed on IL with right index finger injury
2021-02-06,Nuggets,,• Facundo Campazzo,placed on IL with sore right knee
2021-02-06,Nuggets,,• Jamal Murray,placed on IL with sore left knee
2021-02-06,Pelicans,• Naji Marshall,,activated from IL
2021-02-06,Timberwolves,,• D'Angelo Russell,placed on IL with right quadricep injury
2021-02-07,Cavaliers,,• Larry Nance Jr.,placed on IL with fractured left hand/finger
2021-02-07,Wizards,• Raulzinho Neto / Raul Neto,,activated from IL
2021-02-08,Bucks,,• Jrue Holiday,placed on IL with NBA health and safety protocols
2021-02-08,Bulls,• Adam Mokoka,,activated from IL
2021-02-08,Lakers,,• Alex Caruso,placed on IL with right hand injury
2021-02-08,Lakers,,• Anthony Davis,placed on IL with right Achilles injury
2021-02-08,Nets,,• Iman Shumpert,placed on IL with strained left hamstring
2021-02-08,Nuggets,• Facundo Campazzo,,activated from IL
2021-02-08,Nuggets,• Jamal Murray,,activated from IL
2021-02-08,Timberwolves,• D'Angelo Russell,,activated from IL
2021-02-09,Blazers,,• Keljin Blevins,placed on IL
2021-02-09,Celtics,• Jaylen Brown,,activated from IL
2021-02-09,Hawks,,• Rajon Rondo,placed on IL with sore lower back
2021-02-09,Knicks,,• Frank Ntilikina,placed on IL with NBA health and safety protocols
2021-02-09,Knicks,• Derrick Rose,,activated from IL
2021-02-09,Knicks,• Nerlens Noel,,activated from IL
2021-02-09,Magic,,• Evan Fournier,placed on IL with lower back spasms
2021-02-09,Magic,• Al-Farouq Aminu,,activated from IL
2021-02-09,Nets,• Kyrie Irving,,activated from IL
2021-02-09,Pistons,,• Dennis Smith Jr.,placed on IL with NBA health and safety protocols
2021-02-09,Pistons,,• Frank Jackson,placed on IL with illness
2021-02-09,Pistons,• Wayne Ellington,,activated from IL
2021-02-09,Spurs,,• Derrick White,placed on IL with toe injury
2021-02-09,Spurs,• Lonnie Walker IV,,activated from IL
2021-02-10,Clippers,• Patrick Beverley,,activated from IL
2021-02-10,Raptors,,• Yuta Watanabe,placed on IL with sprained left ankle
2021-02-10,Timberwolves,,• D'Angelo Russell,placed on IL with sore left leg
2021-02-10,Timberwolves,• Karl-Anthony Towns,,activated from IL
2021-02-11,76ers,,• Shake Milton,placed on IL with sprained left ankle
2021-02-11,Blazers,,• C.J. Elleby,placed on IL with illness
2021-02-11,Blazers,• Nassir Little,,activated from IL
2021-02-11,Celtics,,• Robert Williams III,placed on IL with left hip injury
2021-02-11,Pistons,,• Mason Plumlee,placed on IL with right elbow injury
2021-02-11,Pistons,• Dennis Smith Jr.,,activated from IL
2021-02-11,Rockets,• Victor Oladipo,,activated from IL
2021-02-12,Blazers,• C.J. Elleby,,activated from IL
2021-02-12,Celtics,,• Kemba Walker,placed on IL with left knee injury
2021-02-12,Kings,• DaQuan Jeffries,,activated from IL
2021-02-12,Lakers,• Alex Caruso,,activated from IL
2021-02-12,Lakers,• Anthony Davis,,activated from IL
2021-02-12,Lakers,• Jared Dudley,,activated from IL
2021-02-12,Magic,,• Frank Mason,placed on IL with right groin injury
2021-02-12,Magic,• Michael Carter-Williams,,activated from IL
2021-02-12,Pistons,,• Sekou Doumbouya,placed on IL with concussion
2021-02-12,Rockets,,• Victor Oladipo,placed on IL with right ankle/foot injury
2021-02-12,Spurs,• Derrick White,,activated from IL
2021-02-13,76ers,• (James) Mike Scott,,activated from IL
2021-02-13,Hawks,,• Tony Snell,placed on IL with right Achilles injury
2021-02-13,Knicks,,• Mitchell Robinson,placed on IL with fractured right hand
2021-02-13,Nets,• Kevin Durant,,activated from IL
2021-02-13,Spurs,,• Quinndary Weatherspoon,placed on IL with NBA health and safety protocols
2021-02-13,Suns,• Cameron Payne,,activated from IL
2021-02-13,Suns,• Dario Saric,,activated from IL
2021-02-13,Wizards,,• Ishmael Smith / Ish Smith,placed on IL with strained right quadriceps
2021-02-14,Blazers,,• Rodney Hood,placed on IL with sprained left foot
2021-02-14,Blazers,• Keljin Blevins,,activated from IL
2021-02-14,Celtics,• Kemba Walker,,activated from IL
2021-02-14,Celtics,• Robert Williams III,,activated from IL
2021-02-14,Clippers,,• Kawhi Leonard,placed on IL with bruised left leg
2021-02-14,Grizzlies,• Sean McDermott,,activated from IL
2021-02-14,Hornets,• Jalen McDaniels,,activated from IL
2021-02-14,Nets,,• Kevin Durant,placed on IL with strained left hamstring
2021-02-14,Pistons,,• Blake Griffin,placed on IL with left knee injury
2021-02-14,Pistons,• Mason Plumlee,,activated from IL
2021-02-14,Suns,,• Jalen Smith,placed on IL with NBA health and safety protocols
2021-02-14,Wizards,,• Anthony Gill,placed on IL with gastroenteritis
2021-02-15,Blazers,,• Harry Giles III,placed on IL with strained left calf
2021-02-15,Bulls,,• Adam Mokoka,placed on IL with NBA health and safety protocols
2021-02-15,Bulls,• Wendell Carter Jr.,,activated from IL
2021-02-15,Clippers,,• Nicolas Batum,placed on IL with concussion
2021-02-15,Lakers,,• Anthony Davis,placed on IL with strained right calf / Achilles
2021-02-15,Nuggets,,• Paul Millsap,placed on IL with sprained left knee
2021-02-15,Wizards,• Anthony Gill,,activated from IL
2021-02-15,Jazz,• Elijah Hughes,,activated from IL
2021-02-15,Magic,• Frank Mason,,activated from IL
2021-02-15,Suns,• Jalen Smith,,activated from IL
2021-02-16,Celtics,,• Daniel Theis,placed on IL with right index finger injury
2021-02-16,Magic,,• Cole Anthony,placed on IL with rib injury
2021-02-16,Nets,,• Kyrie Irving,placed on IL with tightness in lower back
2021-02-16,Raptors,• Ogugua Anunoby / O.G. Anunoby,,activated from IL
2021-02-17,76ers,,• Ben Simmons,placed on IL with illness
2021-02-17,Blazers,• Rodney Hood,,activated from IL
2021-02-17,Bulls,• Adam Mokoka,,activated from IL
2021-02-17,Celtics,,• Kemba Walker,placed on IL with left knee injury
2021-02-17,Hawks,• Tony Snell,,activated from IL
2021-02-17,Kings,,• Harrison Barnes,placed on IL with left foot injury
2021-02-17,Knicks,• Frank Ntilikina,,activated from IL
2021-02-17,Magic,• Evan Fournier,,activated from IL
2021-02-17,Nets,• Kyrie Irving,,activated from IL
2021-02-17,Nuggets,• Gary Harris,,activated from IL
2021-02-17,Rockets,• Victor Oladipo,,activated from IL
2021-02-18,Celtics,• Daniel Theis,,activated from IL
2021-02-18,Kings,,• Chimezie Metu,placed on IL with fractured right wrist
2021-02-18,Lakers,,• Dennis Schröder,placed on IL with health and safety protocols / COVID-19
2021-02-18,Nuggets,,• Gary Harris,placed on IL with strained left adductor
2021-02-18,Raptors,,• Kyle Lowry,placed on IL with sprained left thumb / sore left ankle
2021-02-18,Raptors,• Yuta Watanabe,,activated from IL
2021-02-19,Bucks,,• Jaylen Adams,placed on IL with COVID-19
2021-02-19,Bulls,,• Adam Mokoka,placed on IL with NBA health and safety protocols
2021-02-19,Celtics,• Kemba Walker,,activated from IL
2021-02-19,Clippers,• Kawhi Leonard,,activated from IL
2021-02-19,Clippers,• Nicolas Batum,,activated from IL
2021-02-19,Clippers,• Paul George,,activated from IL
2021-02-19,Grizzlies,,• Dillon Brooks,placed on IL with sore right thigh
2021-02-19,Jazz,• Mike Conley Jr.,,activated from IL
2021-02-19,Pistons,• Sekou Doumbouya,,activated from IL
2021-02-19,Raptors,• Patrick McCaw,,activated from IL
2021-02-20,Bulls,• Adam Mokoka,,activated from IL
2021-02-20,Grizzlies,,• Brandon Clarke,placed on IL with right calf injury
2021-02-20,Grizzlies,• Justise Winslow,,activated from IL
2021-02-20,Kings,,• Glenn Robinson III,placed on IL with right knee injury
2021-02-20,Lakers,• Kostas Antetokounmpo,,activated from IL
2021-02-21,76ers,• Ben Simmons,,activated from IL
2021-02-21,76ers,• Shake Milton,,activated from IL
2021-02-21,Grizzlies,• Brandon Clarke,,activated from IL
2021-02-21,Knicks,,• Austin Rivers,placed on IL with illness
2021-02-21,Nets,,• Tyler Johnson,placed on IL with strained left adductor
2021-02-21,Nuggets,,• JaMychal Green,placed on IL with sprained left shoulder
2021-02-21,Pistons,,• Delon Wright,placed on IL with strained right groin
2021-02-21,Pistons,• Frank Jackson,,activated from IL
2021-02-22,Bulls,,• Adam Mokoka,placed on IL with NBA health and safety protocols
2021-02-22,Grizzlies,,• Sean McDermott,placed on IL
2021-02-22,Mavericks,,• Kristaps Porzingis,placed on IL with tightness in lower back / sore lower back
2021-02-22,Mavericks,• Tyrell Terry,,activated from IL
2021-02-22,Rockets,,• DeMarcus Cousins,placed on IL with sore right heel
2021-02-22,Spurs,,• Keldon Johnson,placed on IL with NBA health and safety protocols
2021-02-23,76ers,,• Seth Curry,placed on IL with sore left ankle
2021-02-23,Hawks,,• Cameron Reddish / Cam Reddish,placed on IL with sore right Achilles
2021-02-23,Hawks,• Rajon Rondo,,activated from IL
2021-02-23,Kings,• Harrison Barnes,,activated from IL
2021-02-23,Mavericks,,• Tyrell Terry,placed on IL
2021-02-23,Nets,,• Timothe Luwawu-Cabarrot,placed on IL with bruised right hip
2021-02-23,Nets,• Tyler Johnson,,activated from IL
2021-02-23,Nets,• Iman Shumpert,,activated from IL
2021-02-23,Rockets,• DeMarcus Cousins,,activated from IL
2021-02-24,Celtics,,• Kemba Walker,placed on IL with left knee injury
2021-02-24,Heat,,• Avery Bradley,placed on IL with bruised right knee
2021-02-24,Heat,• Chris Silva,,activated from IL
2021-02-24,Kings,,• Hassan Whiteside,placed on IL with NBA health and safety protocols
2021-02-24,Knicks,• Austin Rivers,,activated from IL
2021-02-24,Pistons,,• Jerami Grant,placed on IL
2021-02-24,Raptors,• Kyle Lowry,,activated from IL
2021-02-24,Spurs,,• Devin Vassell,placed on IL with NBA health and safety protocols
2021-02-24,Spurs,,• Rudy Gay,placed on IL with NBA health and safety protocols
2021-02-24,Spurs,• LaMarcus Aldridge,,activated from IL
2021-02-24,Timberwolves,• Jarrett Culver,,activated from IL
2021-02-24,Bulls,• Adam Mokoka,,activated from IL
2021-02-24,Kings,• Glenn Robinson III,,activated from IL
2021-02-25,76ers,• Seth Curry,,activated from IL
2021-02-25,Grizzlies,• Dillon Brooks,,activated from IL
2021-02-25,Kings,,• Jabari Parker,placed on IL with NBA health and safety protocols
2021-02-25,Knicks,,• Elfrid Payton,placed on IL with right hamstring injury
2021-02-25,Nets,• Timothe Luwawu-Cabarrot,,activated from IL
2021-02-25,Thunder,,• Hamidou Diallo,placed on IL with sore right groin
2021-02-26,76ers,,• Tobias Harris,placed on IL with bruised right knee
2021-02-26,Celtics,• Kemba Walker,,activated from IL
2021-02-26,Grizzlies,,• Justise Winslow,placed on IL with left hip injury
2021-02-26,Kings,,• Tyrese Haliburton,placed on IL with sore left calf
2021-02-26,Kings,• Jabari Parker,,activated from IL
2021-02-26,Lakers,• Dennis Schröder,,activated from IL
2021-02-26,Pistons,,• Frank Jackson,placed on IL with illness
2021-02-26,Pistons,• Jerami Grant,,activated from IL
2021-02-26,Raptors,,• Pascal Siakam,placed on IL with NBA health and safety protocols
2021-02-27,Grizzlies,,• Grayson Allen,placed on IL with concussion
2021-02-27,Jazz,,• Mike Conley Jr.,placed on IL with right hamstring injury
2021-02-27,Mavericks,• Kristaps Porzingis,,activated from IL
2021-02-27,Nets,,• Kyrie Irving,placed on IL with right shoulder injury
2021-02-27,Nuggets,• P.J. Dozier,,activated from IL
2021-02-27,Thunder,,• Darius Miller,placed on IL with stomach illness
2021-02-27,Spurs,,• Quinndary Weatherspoon,placed on IL for conditioning
2021-02-28,Bucks,• Jrue Holiday,,activated from IL
2021-02-28,Celtics,,• Jaylen Brown,placed on IL with sore left knee
2021-02-28,Grizzlies,• Justise Winslow,,activated from IL
2021-02-28,Grizzlies,• Killian Tillie,,activated from IL
2021-02-28,Jazz,• Mike Conley Jr.,,activated from IL
2021-02-28,Knicks,,• Taj Gibson,placed on IL with sprained left ankle
2021-02-28,Nuggets,,• R.J. Hampton,placed on IL with NBA health and safety protocols
2021-03-01,Nets,,• Jeff Green,placed on IL with right shoulder injury
2021-03-01,Nets,,• Timothe Luwawu-Cabarrot,placed on IL with sore right knee
2021-03-01,Nets,• Kyrie Irving,,activated from IL
2021-03-01,Nuggets,,• Facundo Campazzo,placed on IL with NBA health and safety protocols
2021-03-01,Nuggets,,• Markus Howard,placed on IL with NBA health and safety protocols
2021-03-01,Nuggets,• JaMychal Green,,activated from IL
2021-03-01,Spurs,,• Keldon Johnson,placed on IL with conditioning
2021-03-02,Celtics,• Jaylen Brown,,activated from IL
2021-03-02,Grizzlies,,• Kyle Anderson,placed on IL with illness
2021-03-02,Hawks,• Bogdan Bogdanovic,,activated from IL
2021-03-02,Knicks,,• Derrick Rose,placed on IL with NBA health and safety protocols
2021-03-02,Lakers,,• Marc Gasol,placed on IL with NBA health and safety protocols
2021-03-02,Raptors,,• Fred VanVleet,placed on IL with NBA health and safety protocols
2021-03-02,Raptors,,• Malachi Flynn,placed on IL with NBA health and safety protocols
2021-03-02,Raptors,,• Ogugua Anunoby / O.G. Anunoby,placed on IL with NBA health and safety protocols
2021-03-02,Raptors,,• Patrick McCaw,placed on IL with NBA health and safety protocols
2021-03-02,Spurs,,• Derrick White,placed on IL with NBA health and safety protocols
2021-03-02,Spurs,• Keldon Johnson,,activated from IL
2021-03-02,Spurs,• Quinndary Weatherspoon,,activated from IL
2021-03-03,76ers,• Tobias Harris,,activated from IL
2021-03-03,Grizzlies,• Kyle Anderson,,activated from IL
2021-03-03,Hawks,,• Clint Capela,placed on IL with right foot injury
